Lowest Temperature in United States in 2000
Temperature, Year, Month_Avg, Country, Country_Code
-5.43(C) 22.23(F), 2000, Dec, United States, USA

Highest Temperature in United States in 2016
Temperature, Year, Month_Avg, Country, Country_Code
21.2(C) 70.15(F), 2016, Jul, United States, USA
