Lowest Temperature Recorded in United States
Temperature, Year, Month_Avg, Country, Country_Code
-6.55(C) 20.21(F), 2004, Jan, United States, USA

Highest Temperature Recorded in United States
Temperature, Year, Month_Avg, Country, Country_Code
21.37(C) 70.47(F), 2012, Jul, United States, USA
