All Temperatures Between 2.0 and 4.0 in United States
Temperature, Year, Month_Avg, Country, Country_Code
2.11(C) 35.8(F), 2004, Mar, United States, USA
2.29(C) 36.12(F), 2015, Mar, United States, USA
2.3(C) 36.13(F), 2007, Nov, United States, USA
2.34(C) 36.21(F), 2001, Nov, United States, USA
2.38(C) 36.28(F), 2015, Nov, United States, USA
2.48(C) 36.46(F), 2000, Mar, United States, USA
2.74(C) 36.93(F), 2012, Mar, United States, USA
3.37(C) 38.06(F), 2016, Nov, United States, USA
3.66(C) 38.59(F), 2016, Mar, United States, USA
